Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Kenkare, Priyanka; Shetty, Shravan; Mangal, Utkarsh; Ashith, MV; Shetty, Siddarth; ",The Utilization of Three-Dimensional Technology for an Accurate Diagnosis and Precise Treatment Planning in the Field of Orthodontics,Biomed. Pharmacol. J,14,,2101-2107,2021,
"Jin, Jie; Bhat, Rajani; Mangal, Utkarsh; Seo, Ji-Young; Min, YouJin; Yu, Jaehun; Kim, Dae-Eun; Kuroda, Kenichi; Kwon, Jae-Sung; Choi, Sung-Hwan; ",Molecular weight tuning optimizes poly (2-methoxyethyl acrylate) dispersion to enhance the aging resistance and anti-fouling behavior of denture base resin,Biomaterials Science,10,9,2224-2236,2022,Royal Society of Chemistry
"Lee, Myung-Jin; Kim, Min-Ji; Mangal, Utkarsh; Seo, Ji-Young; Kwon, Jae-Sung; Choi, Sung-Hwan; ",Zinc-modified phosphate-based glass micro-filler improves Candida albicans resistance of auto-polymerized acrylic resin without altering mechanical performance,Scientific reports,12,1,19456,2022,Nature Publishing Group UK London
"Mangal, Utkarsh; Noh, Kowoon; Lee, Seeyoon; Cha, Jae-Kook; Song, Je Seon; Cha, Jung-Yul; Lee, Kee-Joon; Kim, Kwang-Mahn; Kwon, Jae-Sung; Choi, Sung-Hwan; ",Evaluation of periodic stability of the oral microbiome from a healthy cohort using 16S ribosomal RNA gene sequencing analysis,,,,,2022,
"Ryu, Jeong-Hyun; Roh, Jiyeon; Mangal, Utkarsh; Kim, Kwang-Mahn; Choi, Sung-Hwan; Kwon, Jae-Sung; ",Novel osteogenic and easily handled endodontic calcium silicate cement using pluronic F127 hydrogel,Materials,15,19,6919,2022,MDPI
"Mangal, Utkarsh; Kang, Tae-Yun; Jung, Ju Won; Kim, Ji-Yeong; Seo, Ji-Young; Cha, Jung-Yul; Lee, Kee-Joon; Yu, Hyung-Seog; Kim, Kwang-Mahn; Kim, Jin-Man; ",Polybetaine-enhanced hybrid ionomer cement shows improved total biological effect with bacterial resistance and cellular stimulation,Biomaterials Science,11,2,554-566,2023,Royal Society of Chemistry
"Mangal, Utkarsh; Lee, Sung Min; Lee, Seeyoon; Cha, Jung-Yul; Lee, Kee-Joon; Yu, Hyung-Seog; Jung, Hong; Choi, Sung-Hwan; ",Reorientation methodology for reproducible head posture in serial cone beam computed tomography images,Scientific reports,13,1,3220,2023,Nature Publishing Group UK London
"Mangal, Utkarsh; Seo, Ji-Young; Ryu, Jeong-Hyun; Jin, Jie; Wu, Chengzan; Cha, Jung-Yul; Lee, Kee-Joon; Yu, Hyung-Seog; Kim, Kwang-Mahn; Kwon, Jae-Sung; ",Changes in mechanical and bacterial properties of denture base resin following nanoceria incorporation with and without SBA-15 carriers,Journal of the Mechanical Behavior of Biomedical Materials,138,,105634,2023,Elsevier
"Mangal, Utkarsh; Noh, Kowoon; Lee, Seeyoon; Cha, Jae‐Kook; Song, Je Seon; Cha, Jung‐Yul; Lee, Kee‐Joon; Kim, Kwang‐Mahn; Kwon, Jae‐Sung; Choi, Sung‐Hwan; ",Multistability and hysteresis in states of oral microbiota: Is it impacting the dental clinical cohort studies?,Journal of Periodontal Research,58,2,381-391,2023,
"Jin, Jie; Mangal, Utkarsh; Seo, Ji-Young; Kim, Ji-Yeong; Ryu, Jeong-Hyun; Lee, Young-Hee; Lugtu, Cerjay; Hwang, Geelsu; Cha, Jung-Yul; Lee, Kee-Joon; ",Cerium oxide nanozymes confer a cytoprotective and bio-friendly surface micro-environment to methacrylate based oro-facial prostheses,Biomaterials,296,,122063,2023,Elsevier
"Ryu, Jeong-Hyun; Lee, Myung-Jin; Mangal, Utkarsh; Seo, Ji-Yeong; Jeong, Il Jun; Park, Jin-Young; Na, Ji-Yeong; Lee, Kee-Joon; Yu, Hyung-Seog; Cha, Jae-Kook; ",Strontium-substituted phosphate-based glass exhibits improved and optimized bioactive in vitro and in vivo responses,,,,,2023,
"Wu, Chengzan; Kim, Min-Ji; Mangal, Utkarsh; Seo, Ji-Young; Kim, Ji-Yeong; Kim, Junho; Park, Ju-Young; Kwon, Jae-Sung; Choi, Sung-Hwan; ",Effect of bacterial resistant zwitterionic derivative incorporation on the physical properties of resin-modified glass ionomer luting cement,Scientific reports,13,1,3589,2023,Nature Publishing Group UK London
"Yu, Jae-Hun; Kim, Ji-Hoi; Liu, Jing; Mangal, Utkarsh; Ahn, Hee-Kap; Cha, Jung-Yul; ",Reliability and time-based efficiency of artificial intelligence-based automatic digital model analysis system,European Journal of Orthodontics,45,6,712-721,2023,Oxford University Press UK
"Ryu, Jeong-Hyun; Mangal, Utkarsh; Lee, Myung-Jin; Seo, Ji-Young; Jeong, Il Jun; Park, Jin-Young; Na, Ji-Yeong; Lee, Kee-Joon; Yu, Hyung-Seog; Cha, Jae-Kook; ",Effect of strontium substitution on functional activity of phosphate-based glass,Biomaterials Science,11,18,6299-6310,2023,Royal Society of Chemistry
"Kim, Ji-Hoi; Yu, Jae-Hun; Mangal, Utkarsh; Liu, Jing; Jung, Hyo-Jung; Cha, Jung-Yul; ","Dental plaque removal efficiency of microcurrent-emitting toothbrushes in orthodontic patients: a randomized, double-blind, crossover clinical trial",,,,,2023,
"Wu, Chengzan; Mangal, Utkarsh; Kim, Junho; Lee, Kee-Joon; Cha, Jung-Yul; Kwon, Jae-Sung; Choi, Sung-Hwan; ",Quantitative light-induced fluorescence enables effective detection of orthodontic adhesive residues in diverse environments,Photodiagnosis and Photodynamic Therapy,44,,103743,2023,Elsevier
"Kim, Min-Ji; Seo, Ji-Young; Jung, Il-Jun; Mangal, Utkarsh; Kim, Hee-Jin; Lee, Kee-Joon; Lee, Myung-Jin; Kwon, Jae-Sung; Choi, Sung-Hwan; ",A novel orthodontic adhesive containing zinc-doped phosphate-based glass for preventing white spot lesions,Journal of Dentistry,137,,104689,2023,Elsevier
"Choi, Woojin; Mangal, Utkarsh; Park, Jin-Young; Kim, Ji-Yeong; Jun, Taesuk; Jung, Ju Won; Choi, Moonhyun; Jung, Sungwon; Lee, Milae; Na, Ji-Yeong; ",Occlusive membranes for guided regeneration of inflamed tissue defects,Nature communications,14,1,7687,2023,Nature Publishing Group UK London
"Ryu, Jeong-Hyun; Mangal, Utkarsh; Yoo, Jaeyong; Youm, Ji-Hun; Kim, Ji-Yeong; Seo, Ji-Young; Kim, Dohyun; Kwon, Jae-Sung; Choi, Sung-Hwan; ",Low concentration zinc oxide nanoparticles enrichment enhances bacterial and pro-inflammatory resistance of calcium silicate-based cements,Journal of the mechanical behavior of biomedical materials,151,,106399,2024,Elsevier
"Moshiri, Mazyar; Paik, Cheol-Ho; Park, Ki-Ho; Park, Jae Hyun; Park, Young-Guk; Mangal, Utkarsh; Lim, Sung-Hoon; Choi, Sung-Kwon; Sung, Jae-Hyun; Chae, Jong-Moon; ","Please be advised that for the following articles, the authors provided statements confirming that they had received patient consent, but these statements were not published by Elsevier. For each of the following articles, the authors have asserted that patient consent was obtained.",,,,,,
"Kim, Min-Ji; Mangal, Utkarsh; Seo, Ji-Young; Kim, Ji-Yun; Kim, Ji-Yeong; Ryu, Jeong-Hyun; Kim, Hee-Jin; Lee, Kee-Joon; Kwon, Jae-Sung; Choi, Sung-Hwan; ",A novel zwitterion incorporated Nano-crystalline ceramic and polymer for bacterial resistant dental CAD-CAM block,Journal of Dentistry,148,,105054,2024,Elsevier
"Kim, Ji-Hoi; Yu, Jae-Hun; Mangal, Utkarsh; Liu, Jing; Jung, Hyo-Jung; Cha, Jung-Yul; ","Evaluation of dental plaque reduction using microcurrent-emitting toothbrushes in orthodontic patients: a randomized, double-blind, crossover clinical trial",Scientific reports,14,1,12126,2024,Nature Publishing Group UK London
